web_url,headline,pub_date
https://www.nytimes.com/2023/12/05/us/darryl-george-hair-locs-texas.html,Black Student in Texas Is Suspended Over Hair Length Again,2023-12-06T03:06:50+0000
https://www.nytimes.com/2023/11/16/arts/design/for-jonathan-lyndon-chase-artists-space.html,"For Jonathan Lyndon Chase, Hair Is Rooted in Pride",2023-11-16T05:56:23+0000
https://www.nytimes.com/2023/11/13/theater/jajas-african-hair-braiding-black-women.html,When a Seat in the Theater Means a Seat in the Salon,2023-11-13T15:34:27+0000
https://www.nytimes.com/2023/10/27/world/europe/france-inclusive-hair-salons.html,A Scientist’s Salons in Paris Cater to a Neglected Trait: Curly Hair,2023-10-27T09:03:57+0000
https://www.nytimes.com/2023/10/12/us/darryl-george-texas-hair-expelled.html,Black Student Suspended Over Hair Length Is Sent to Disciplinary School,2023-10-12T14:21:42+0000
https://www.nytimes.com/2023/10/06/opinion/race-natural-hair-heritage.html,My Hair Was Always a Source of Tension Between My Mother and Me. Then We Met Charlotte.,2023-10-06T09:01:24+0000
https://www.nytimes.com/2023/09/24/us/darryl-george-texas-lawsuit-crown-act.html,Black High School Student Suspended Over His Hair Length Sues Texas Leaders,2023-09-24T18:31:15+0000
https://www.nytimes.com/2023/09/22/arts/television/matthew-a-cherry-young-love-max.html,"With ‘Young Love,’ Matthew A. Cherry Weaves a Warm Chicago Tale",2023-09-22T16:23:52+0000
https://www.nytimes.com/2023/09/14/us/texas-student-locs-hair-crown-act.html,"In Texas, a Black High School Student Is Suspended Over His Hair Length",2023-09-14T20:36:41+0000
https://www.nytimes.com/2023/09/15/theater/jocelyn-bioh-jajas-african-hair-braiding.html,When the Wig Is a Character: Backstage at Jocelyn Bioh’s New Play,2023-09-15T09:00:46+0000
https://www.nytimes.com/2023/07/17/style/curlfest-nyc.html,Celebrating Their Roots at Curlfest,2023-07-17T22:19:21+0000
https://www.nytimes.com/2023/06/21/business/unilever-black-women-hair-products.html,This Salon Works to Understand Black Women’s Hair,2023-06-21T09:00:35+0000
https://www.nytimes.com/interactive/2023/06/22/t-magazine/art/kim-dacres-art-exhibit.html,"On View: Bantu Knots and Braids, Sculpted From Recycled Tires",2023-06-22T16:10:53+0000
https://www.nytimes.com/2016/10/06/opinion/white-schools-vs-black-hair-in-post-apartheid-south-africa.html,White Schools vs. Black Hair in Post-Apartheid South Africa,2016-10-05T12:57:47+0000
https://www.nytimes.com/2014/09/09/nyregion/black-women-find-a-growing-business-opportunity-care-for-their-hair.html,Black Women Find a Growing Business Opportunity: Care for Their Hair,2014-09-08T14:59:13+0000
https://www.nytimes.com/2017/07/13/style/meechy-monroe-dead-natural-hair-movement.html,"Meechy Monroe, a YouTube Star for Her Natural Hair Lessons, Dies at 32",2017-07-13T22:30:26+0000
https://www.nytimes.com/2019/02/21/nyregion/black-hair-decriminalization-ny.html,The Decriminalization of Black Hair,2019-02-21T20:25:19+0000
https://artsbeat.blogs.nytimes.com/2012/09/25/in-paris-an-exhibition-dedicated-to-hair/,"In Paris, an Exhibition Dedicated to Hair",2012-09-25T19:04:21+0000
https://www.nytimes.com/2023/04/05/style/mielle-organics-rosemary-hair-oil.html,Who Gets to Use a Hair Oil?,2023-04-05T22:00:09+0000
https://www.nytimes.com/2016/12/26/fashion/black-hair-care-app-swivel.html,An App to Help Black Women With Hair Care,2016-12-26T11:00:24+0000
https://www.nytimes.com/2014/05/01/opinion/when-black-hair-is-against-the-rules.html,When Black Hair Is Against the Rules,2014-04-30T22:57:00+0000
https://www.nytimes.com/2012/06/01/opinion/black-women-and-natural-hair.html,Black Women’s Transitions to Natural Hair,2012-05-31T21:11:39+0000
https://www.nytimes.com/2022/10/27/arts/television/the-hair-tales-hulu-own.html,‘The Hair Tales’: Stories of Black Women’s Hair and Self-Acceptance,2022-10-27T19:00:09+0000
https://www.nytimes.com/2022/07/21/books/african-american-dictionary.html,"Hip, Woke, Cool: It’s All Fodder For the Oxford Dictionary of African American English",2022-07-21T09:00:07+0000
https://www.nytimes.com/2018/02/23/opinion/sunday/natural-hair-black-panther.html,Black Hair’s Blockbuster Moment,2018-02-24T00:31:06+0000
https://lens.blogs.nytimes.com/2016/05/26/honoring-the-legacy-of-african-american-women/,Honoring the Legacy of African-American Women,2016-05-26T07:00:58+0000
https://www.nytimes.com/2020/10/28/movies/black-women-horror-hair.html,Black Women’s Hair and Horror Movies: What Could Go Wrong?,2020-10-28T21:06:30+0000
https://www.nytimes.com/2019/05/04/opinion/sunday/travel-blacks-africa.html,The Trip I Hope All African-Americans Can Take,2019-05-04T18:30:06+0000
https://www.nytimes.com/2011/05/30/arts/dance/danceafrica-at-brooklyn-academy-of-music-review.html,"The Dances of Africa, as Filtered Through the Americas",2011-05-29T21:37:22+0000
https://www.nytimes.com/2017/04/09/us/our-tangled-world-of-hair.html,Our Tangled World of Hair,2017-04-09T17:06:09+0000
https://www.nytimes.com/2023/05/23/style/african-american-english-oxford-dictionary.html,The First 10 Words of the African American English Dictionary Are In,2023-05-23T09:00:17+0000
https://www.nytimes.com/2013/05/20/books/americanha-by-chimamanda-ngozi-adichie.html,Braiding Hair and Issues About Race,2013-05-19T20:27:05+0000
https://www.nytimes.com/2011/08/16/business/natural-hair-pat-downs-warrant-a-rethinking.html,"With Hair Pat-Downs, Complaints of Racial Bias",2011-08-16T00:10:25+0000
https://www.nytimes.com/2018/11/15/style/combing-my-hair-and-finding-myself.html,Combing My Hair and Finding Myself,2018-11-15T10:00:07+0000
https://www.nytimes.com/2021/12/09/style/black-women-hair-care.html,Black Women Make Waves in Hair Care,2021-12-09T08:00:10+0000
https://www.nytimes.com/2023/05/20/business/lionel-harris-brownie-blendz-the-shop.html,Inside the Life of Influencer Barbers,2023-05-20T09:00:51+0000
https://www.nytimes.com/2013/09/18/opinion/friedman-the-man-with-pink-hair.html,The Man With Pink Hair,2013-09-18T01:07:08+0000
https://www.nytimes.com/2020/09/24/style/wigs-coronavirus.html,Now’s the Time for Wigs. If You Can Get the Hair for Them.,2020-09-24T07:00:07+0000
https://www.nytimes.com/2021/05/10/t-magazine/black-hair-care-natural.html,The Brands Reimagining Natural Hair Care,2021-05-10T09:00:16+0000
https://www.nytimes.com/2020/06/10/business/walmart-black-hair-beauty-products.html,Walmart Says It Will No Longer Lock Up African-American Beauty Products,2020-06-11T03:43:23+0000
https://www.nytimes.com/2021/03/29/theater/crowns-kinks-and-curls-review.html,"Review: In ‘Crowns, Kinks and Curls,’ Getting to the Roots of Black Hair",2021-03-29T20:03:52+0000
https://www.nytimes.com/2019/12/20/us/nj-hair-discrimination.html,New Jersey Is Third State to Ban Discrimination Based on Hair,2019-12-20T23:59:19+0000
https://www.nytimes.com/2019/06/28/us/natural-hair-discrimination-ban.html,California Is First State to Ban Discrimination Based on Natural Hair,2019-06-28T21:48:48+0000
https://www.nytimes.com/2022/04/05/movies/oscars-black-hair-chris-rock.html,One Last Takeaway From ‘The Slap’: Leave Black Women’s Hair Alone,2022-04-05T23:04:02+0000
https://www.nytimes.com/2017/07/19/fashion/beauty/curlfest-a-celebration-of-curl-confidence.html,"At Curlfest, a Celebration of Natural Hair and Black Beauty",2017-07-19T04:01:58+0000
https://www.nytimes.com/2011/04/19/health/research/19hazards.html,Hazards: More Culprits in Hair Loss Than Just the Salon,2011-04-15T20:24:10+0000
https://well.blogs.nytimes.com/2011/08/25/surgeon-general-calls-for-health-over-hair/,Surgeon General Calls for Health Over Hair,2011-08-25T21:52:27+0000
https://www.nytimes.com/2018/08/29/opinion/black-hair-girls-shaming.html,Why Are Black People Still Punished for Their Hair? ,2018-08-29T17:21:40+0000
https://www.nytimes.com/2016/03/24/arts/international/grappling-with-hair-issues.html,Grappling With Hair Issues,2016-03-24T15:08:24+0000
